key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_15.keys,key_resp_15.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,base_sentence_number,version,experiment,list,numb_words,gender,sentence,question,answer,CorrAns,w1,w2,w3,w4,w5,w6,w7,w8,w9,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_16.keys,key_resp_16.rt,word1.keys,word1.rt,word2.keys,word2.rt,word3.keys,word3.rt,word4.keys,word4.rt,word5.keys,word5.rt,word6.keys,word6.rt,word7.keys,word7.rt,word8.keys,word8.rt,word9.keys,word9.rt,compquestion.keys,compquestion.corr,compquestion.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,endoftask.keys,endoftask.rt
space,0.0043,y,0.2724,space,0.845,space,0.1716,space,0.1939,space,0.152,space,0.182,space,0.145,space,0.1542,space,0.1327,space,0.1644,y,0.5014,0,0,0,0,1,NA,NA,practica,NA,NA,NA,Rita is uncomfortable because it is very hot outside.,Is it cold?,no,0,Rita,is,uncomfortable,because,it,is,very,hot,outside.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.4356,space,0.1836,space,0.1546,space,0.1552,space,0.152,space,0.1695,space,0.1682,space,0.1755,space,0.2159,y,3.0307,0,1,1,1,1,NA,NA,practica,NA,NA,NA,Peter was running by himself in the park yesterday.,Was Peter painting the wall?,no,0,Peter,was,running,by,himself,in,the,park,yesterday.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.6959,space,0.3998,space,0.2837,space,0.3165,space,0.3051,space,0.2643,space,0.267,space,0.2501,space,0.2715,y,1.7953,0,2,2,2,1,NA,NA,practica,NA,NA,NA,Hannah is watching tv because she is really bored.,Is Hannah in front of a screen?,yes,1,Hannah,is,watching,tv,because,she,is,really,bored.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1_1,neutral_gender_someone,1,9,masculine,Someone called me but he stopped before I answered,Did the person try to communicate?,yes,1,Someone,called,me,but,he,stopped,before,I,answered.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,space,3.5839,space,0.7441,space,0.2784,space,0.1898,space,0.1808,space,0.1846,space,0.1948,space,0.1825,space,0.1898,space,0.2144,y,0,2.8487,0,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21_2,inclusive_gender_reflexive,1,9,themself,Jack was cooking by themself in the kitchen yesterday.,Was Jack in the kitchen?,yes,1,Jack,was,cooking,by,themself,in,the,kitchen,yesterday.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,0.2963,space,0.2833,space,0.1737,space,0.2015,space,0.1626,space,0.185,space,0.2377,space,0.1997,space,0.3997,y,0,1.152,0,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,NA,filler,1and2,9,NA,The aroma of freshly brewed coffee filled the room.,Was the smell nice?,,1,The,aroma,of,freshly,brewed,coffee,filled,the,room.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,0.2677,space,0.2014,space,0.1516,space,0.1825,space,0.1487,space,0.1817,space,0.1624,space,0.1704,space,0.1853,y,0,2.6959,0,2,2,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22_1,inclusive_gender_reflexive,1,9,himself,Max was painting by himself in the studio earlier.,Was Max watching tv?,no,0,Max,was,painting,by,himself,in,the,studio,earlier.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,0.2466,space,0.201,space,0.1781,space,0.1531,space,0.1828,space,0.1865,space,0.2019,space,0.1823,space,0.1962,n,0,1.5069,0,3,3,3,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33_1,inclusive_gender_they,1,9,she,Sara is happy because she found new friends yesterday.,Is Sara in a good mood?,yes,1,Sara,is,happy,because,she,found,new,friends,yesterday.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,0.7481,space,0.2005,space,0.1645,space,0.1767,space,0.1806,space,0.1626,space,0.2045,space,0.2042,space,0.1815,y,0,1.0616,0,4,4,4,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31_2,inclusive_gender_reflexive,1,9,themself,Troy was singing by themself in the shower yesterday.,Was Troy singing?,yes,1,Troy,was,singing,by,themself,in,the,shower,yesterday.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,0.2059,space,0.1732,space,0.2072,space,0.1987,space,0.1619,space,0.2022,space,0.1846,space,0.25,space,0.1773,y,0,0.8711,0,5,5,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,NA,filler,1and2,9,NA,"Soft raindrops tapped gently, creating a rhythmic melody outside.",Was it a sunny day?,,0,Soft,raindrops,tapped,"gently,",creating,a,rhythmic,melody,outside.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,160.799,space,0.3336,space,0.1483,space,0.185,space,0.1863,space,0.1983,space,0.1993,space,0.1487,space,0.1647,n,0,2.1823,0,6,6,6,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34_2,inclusive_gender_they,1,9,they,Mary is sad because they lost the dog earlier.,Did mary lose something?,no,0,Mary,is,sad,because,they,lost,the,dog,earlier.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,0.4669,space,0.1661,space,0.1503,space,0.148,space,0.1745,space,0.1665,space,0.1827,space,0.2232,space,0.3524,y,0,1.6306,0,7,7,7,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10_2,neutral_gender_someone,1,9,neutral,Someone shushed me but they stopped before I noticed.,Was the person happy to hear a voice?,no,0,Someone,shushed,me,but,they,stopped,before,I,noticed.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,57.6187,space,0.3686,space,0.2073,space,0.3373,space,0.2052,space,0.2157,space,0.2349,space,0.2499,space,0.2351,n,0,1.3554,0,8,8,8,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,NA,filler,1and2,9,NA,"They went on an exciting trip, embracing their destiny.",Did they stay home?,,0,They,went,on,an,exciting,"trip,",embracing,their,destiny.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,1.1466,space,0.1998,space,0.1827,space,0.2001,space,0.1806,space,0.2075,space,0.1887,space,0.2368,space,0.2817,n,0,1.0999,0,9,9,9,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23_2,inclusive_gender_reflexive,1,9,themself,Ben was dancing by themself in the kitchen yesterday.,Was Ben in the kitchen?,yes,1,Ben,was,dancing,by,themself,in,the,kitchen,yesterday.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,0.2974,space,0.1431,space,0.1643,space,0.1508,space,0.2066,space,0.2156,space,0.2547,space,0.3036,space,0.2933,y,0,1.9002,0,10,10,10,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9_1,neutral_gender_someone,1,9,masculine,Someone helped me but he left before I finished.,Did the person offer some help?,yes,1,Someone,helped,me,but,he,left,before,I,finished.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,35.4684,space,0.1351,space,0.1538,space,0.1398,space,0.1548,space,0.2168,space,0.2024,space,0.2064,space,0.2994,n,0,5.2176,0,11,11,11,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12_2,neutral_gender_someone,1,9,neutral,Someone scared me and they ran after I screamed.,Did the person write a note?,no,0,Someone,scared,me,and,they,ran,after,I,screamed.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,41.7269,space,0.2499,space,0.3125,space,0.2743,space,0.2891,space,0.2682,space,0.2673,space,0.2715,space,0.3666,n,0,3.9643,0,12,12,12,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,NA,filler,1and2,9,NA,"He smiled warmly, extending a hand in friendly greeting.",Did someone fall?,,0,He,smiled,"warmly,",extending,a,hand,in,friendly,greeting.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,74.9059,space,0.1991,space,0.1832,space,0.199,space,0.2731,space,0.2659,space,0.1677,space,0.3014,space,0.3193,n,0,1.0353,0,13,13,13,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36_2,inclusive_gender_they,1,9,they,Helen is anxious because they dread the presentation earlier.,Did Helen's presentation go well?,no,0,Helen,is,anxious,because,they,dread,the,presentation,earlier.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,2.352,space,0.2162,space,0.1452,space,0.1551,space,0.175,space,0.177,space,0.169,space,0.1633,space,0.3417,n,0,5.0027,0,14,14,14,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16_2,neutral_gender_someone,1,9,neutral,Someone passed me and they sped before I noticed.,Was everybody going slow?,no,0,Someone,passed,me,and,they,sped,before,I,noticed.,L2SPAN_2023_49,001,2023-09-13_20h14.56.634,spr_english_2023_list1,2021.1.1,MacIntel,60.0024001,,,space,12.1024,space,0.6513,space,0.2173,space,0.1866,space,0.1741,space,0.1512,space,0.1742,space,0.1682,space,0.1362,n,0,1.182,0,15,15,15,1,,
