key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_15.keys,key_resp_15.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,base_sentence_number,version,experiment,list,numb_words,gender,sentence,question,answer,CorrAns,w1,w2,w3,w4,w5,w6,w7,w8,w9,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_16.keys,key_resp_16.rt,word1.keys,word1.rt,word2.keys,word2.rt,word3.keys,word3.rt,word4.keys,word4.rt,word5.keys,word5.rt,word6.keys,word6.rt,word7.keys,word7.rt,word8.keys,word8.rt,word9.keys,word9.rt,compquestion.keys,compquestion.corr,compquestion.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,endoftask.keys,endoftask.rt
space,0.1984,y,1.3889,space,0.6112,space,0.3505,space,0.153,space,0.2014,space,0.2989,space,0.1609,space,0.1618,space,0.1515,space,0.0977,n,2.7524,0,0,0,0,1,NA,NA,practica,NA,NA,NA,Rita is uncomfortable because it is very hot outside.,Is it cold?,no,0,Rita,is,uncomfortable,because,it,is,very,hot,outside.,Paloma,001,2023-09-14_12h41.34.101,spr_english_2023_list2,2021.1.1,Win32,19.98840672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.5614,space,0.1014,space,0.1561,space,0.5378,space,0.1543,space,0.1501,space,0.1021,space,0.1029,space,0.1561,n,2.411,0,1,1,1,1,NA,NA,practica,NA,NA,NA,Peter was running by himself in the park yesterday.,Was Peter painting the wall?,no,0,Peter,was,running,by,himself,in,the,park,yesterday.,Paloma,001,2023-09-14_12h41.34.101,spr_english_2023_list2,2021.1.1,Win32,19.98840672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.6302,space,0.1024,space,0.1035,space,0.1019,space,0.1552,space,0.0978,space,0.1467,space,0.2608,space,0.1999,y,1.8476,0,2,2,2,1,NA,NA,practica,NA,NA,NA,Hannah is watching tv because she is really bored.,Is Hannah in front of a screen?,yes,1,Hannah,is,watching,tv,because,she,is,really,bored.,Paloma,001,2023-09-14_12h41.34.101,spr_english_2023_list2,2021.1.1,Win32,19.98840672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1_2,neutral_gender_someone,2,9,neutral,Someone called me but they stopped before I answered,Did the person try to communicate?,yes,1,Someone,called,me,but,they,stopped,before,I,answered.,Paloma,001,2023-09-14_12h41.34.101,spr_english_2023_list2,2021.1.1,Win32,19.98840672,space,0.0511,space,1.2774,space,0.2586,space,0.0981,space,0.3177,space,0.1033,space,0.156,space,0.0989,space,0.1031,space,0.1033,y,0,1.7717,0,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34_1,inclusive_gender_they,2,9,she,Mary is sad because she lost the dog earlier.,Did mary lose something?,no,0,Mary,is,sad,because,she,lost,the,dog,earlier.,Paloma,001,2023-09-14_12h41.34.101,spr_english_2023_list2,2021.1.1,Win32,19.98840672,,,space,0.5536,space,0.0986,space,0.1026,space,0.1023,space,0.1019,space,0.1015,space,0.0983,space,0.1018,space,0.1046,n,0,4.8038,0,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31_1,inclusive_gender_reflexive,2,9,himself,Troy was singing by himself in the shower yesterday.,Was Troy singing?,yes,1,Troy,was,singing,by,himself,in,the,shower,yesterday.,Paloma,001,2023-09-14_12h41.34.101,spr_english_2023_list2,2021.1.1,Win32,19.98840672,,,space,0.4076,space,0.1011,space,0.1041,space,0.1458,space,0.1025,space,0.0972,space,0.2113,space,0.1567,space,0.1599,y,0,1.1625,0,2,2,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37_2,inclusive_gender_they,2,9,they,Emily is grateful because they got nice gifts yesterday.,Did Emily get presents?,yes,1,Emily,is,grateful,because,they,got,nice,gifts,yesterday.,Paloma,001,2023-09-14_12h41.34.101,spr_english_2023_list2,2021.1.1,Win32,19.98840672,,,space,0.4791,space,0.0984,space,0.1019,space,0.1561,space,0.102,space,0.15,space,0.0979,space,0.1517,space,0.099,n,0,4.3484,0,3,3,3,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,NA,filler,1and2,9,NA,The aroma of freshly brewed coffee filled the room.,Was the smell nice?,,1,The,aroma,of,freshly,brewed,coffee,filled,the,room.,Paloma,001,2023-09-14_12h41.34.101,spr_english_2023_list2,2021.1.1,Win32,19.98840672,,,space,0.4637,space,0.1597,space,0.0984,space,0.1033,space,0.1572,space,0.1028,space,0.1511,space,0.1022,space,0.0972,y,0,2.1574,0,4,4,4,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30_2,inclusive_gender_reflexive,2,9,themself,Scott was drinking by themself at the bar earlier.,Was Scott at his apartment?,no,0,Scott,was,drinking,by,themself,at,the,bar,earlier.,Paloma,001,2023-09-14_12h41.34.101,spr_english_2023_list2,2021.1.1,Win32,19.98840672,,,space,0.8571,space,0.0975,space,0.1502,space,0.1017,space,0.1142,space,0.0971,space,0.0502,space,0.1022,space,0.1619,n,0,5.6652,0,5,5,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14_1,neutral_gender_someone,2,9,masculine,Someone photographed me but he quit before I spoke.,Did someone take pictures?,yes,0,Someone,photographed,me,but,he,quit,before,I,spoke.,Paloma,001,2023-09-14_12h41.34.101,spr_english_2023_list2,2021.1.1,Win32,19.98840672,,,space,0.5846,space,0.1499,space,0.1118,space,0.0502,space,0.148,space,0.2632,space,0.1027,space,0.1496,space,0.1163,y,0,2.8691,0,6,6,6,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28_2,inclusive_gender_reflexive,2,9,themself,Tom was swimming by themself at the beach earlier.,Was Tom at the park?,no,0,Tom,was,swimming,by,themself,at,the,beach,earlier.,Paloma,001,2023-09-14_12h41.34.101,spr_english_2023_list2,2021.1.1,Win32,19.98840672,,,space,0.8282,space,0.1591,space,0.1125,space,0.102,space,0.1026,space,0.1091,space,0.1456,space,0.0966,space,0.0988,y,0,3.369,0,7,7,7,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,NA,filler,1and2,9,NA,"The sun behind distant mountains, painting the nice sky.",Was the sun showing?,,1,The,sun,behind,distant,"mountains,",painting,the,nice,sky.,Paloma,001,2023-09-14_12h41.34.101,spr_english_2023_list2,2021.1.1,Win32,19.98840672,,,space,0.503,space,0.1493,space,0.1023,space,0.1461,space,0.0975,space,0.1038,space,0.1459,space,0.0988,space,0.1035,n,0,4.1572,0,8,8,8,1,,
